Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|J. Smith|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|R. Callinan|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|M. McGillivray|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|2|K. Igarashi|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|L. Mesinas|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|3|C. Ibelli|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|K. Slater|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|C. Robson|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|1|B. Mamiya|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|C. Coffin|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|J. Andre|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|33|J. Lawler|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|I. Ferreira|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|5|E. Lau|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|B. Kemper|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|F. Toledo|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|J. Chianca|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|33|K. Lenny|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|M. Cibilic|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|S. Pupo|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|I. deVault|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|J. Florence|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|3|E. Ewing|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|33|O. Wright|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|G. Colapinto|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|D. Silva|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|J. Baker|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|5|S. Moniz|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|K. Andino|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|N. Young|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|33|M. Pupo|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|5|J. Robinson|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|5|J. Marshall|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|L. Fioravanti|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|F. Morais|||
2022|2022.02.09|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|C. O'Leary|||
